1,Chondrosarcoma,Bone and muscle sarcoma,t
2,Ewing's sarcoma,Bone and muscle sarcoma,t
3,Malignant fibrous histiocytoma of bone/osteosarcoma,Bone and muscle sarcoma,t
4,Osteosarcoma,Bone and muscle sarcoma,t
5,Rhabdomyosarcoma,Bone and muscle sarcoma,t
6,Heart cancer,Bone and muscle sarcoma,t
7,Astrocytoma,Brain and nervous system,t
8,Brainstem glioma,Brain and nervous system,t
9,Pilocytic astrocytoma,Brain and nervous system,t
10,Ependymoma,Brain and nervous system,t
11,Primitive neuroectodermal tumor,Brain and nervous system,t
12,Cerebellar astrocytoma,Brain and nervous system,t
13,Cerebral astrocytoma,Brain and nervous system,t
14,Glioblastoma,Brain and nervous system,t
15,Glioma,Brain and nervous system,t
16,Medulloblastoma,Brain and nervous system,t
17,Neuroblastoma,Brain and nervous system,t
18,Oligodendroglioma,Brain and nervous system,t
19,Pineal astrocytoma,Brain and nervous system,t
20,Pituitary adenoma,Brain and nervous system,t
21,Visual pathway and hypothalamic glioma,Brain and nervous system,t
22,Breast cancer,Breast,t
23,Invasive lobular carcinoma,Breast,t
24,Tubular carcinoma,Breast,t
25,Invasive cribriform carcinoma,Breast,t
26,Medullary carcinoma,Breast,t
27,Male breast cancer,Breast,t
28,Phyllodes tumor,Breast,t
29,Inflammatory Breast Cancer,Breast,t
30,Adrenocortical carcinoma,Endocrine system,t
31,Islet cell carcinoma (endocrine pancreas),Endocrine system,t
32,Multiple endocrine neoplasia syndrome,Endocrine system,t
33,Parathyroid cancer,Endocrine system,t
34,Pheochromocytoma,Endocrine system,t
35,Thyroid cancer,Endocrine system,t
36,Merkel cell carcinoma,Endocrine system,t
37,Uveal melanoma,Eye,t
38,Retinoblastoma,Eye,t
39,Anal cancer,Gastrointestinal,t
40,Appendix cancer,Gastrointestinal,t
41,cholangiocarcinoma,Gastrointestinal,t
42,"Carcinoid tumor, gastrointestinal",Gastrointestinal,t
43,Colon cancer,Gastrointestinal,t
44,Extrahepatic bile duct cancer,Gastrointestinal,t
45,Gallbladder cancer,Gastrointestinal,t
46,Gastric (stomach) cancer,Gastrointestinal,t
47,Gastrointestinal carcinoid tumor,Gastrointestinal,t
48,Gastrointestinal stromal tumor (GIST),Gastrointestinal,t
49,Hepatocellular cancer,Gastrointestinal,t
50,"Pancreatic cancer, islet cell",Gastrointestinal,t
51,Rectal cancer,Gastrointestinal,t
52,Bladder cancer,Genitourinary and gynecologic,t
53,Cervical cancer,Genitourinary and gynecologic,t
54,Endometrial cancer,Genitourinary and gynecologic,t
55,Extragonadal germ cell tumor,Genitourinary and gynecologic,t
56,Ovarian cancer,Genitourinary and gynecologic,t
57,Ovarian epithelial cancer (surface epithelial-stromal tumor),Genitourinary and gynecologic,t
58,Ovarian germ cell tumor,Genitourinary and gynecologic,t
59,Penile cancer,Genitourinary and gynecologic,t
60,Renal cell carcinoma,Genitourinary and gynecologic,t
61,"Renal pelvis and ureter, transitional cell cancer",Genitourinary and gynecologic,t
62,Prostate cancer,Genitourinary and gynecologic,t
63,Testicular cancer,Genitourinary and gynecologic,t
