1,anorexia,General,t
2,weight loss,General,t
3,cachexia,General,t
4,chills and shivering,General,t
5,convulsions,General,t
6,deformity,General,t
7,discharge,General,t
8,dizziness / Vertigo,General,t
9,fatigue,General,t
10,malaise,General,t
11,asthenia,General,t
12,hypothermia,General,t
13,jaundice,General,t
14,muscle weakness,General,t
15,pyrexia,General,t
16,sweats,General,t
17,swelling,General,t
18,swollen or painful lymph node(s) ,General,t
19,weight gain,General,t
20,arrhythmia,Cardiovascular,t
21,bradycardia,Cardiovascular,t
22,chest pain,Cardiovascular,t
23,claudication,Cardiovascular,t
24,palpitations,Cardiovascular,t
25,tachycardia,Cardiovascular,t
26,dry mouth,"Ear, Nose and Throat",t
27,epistaxis,"Ear, Nose and Throat",t
28,halitosis,"Ear, Nose and Throat",t
29,hearing loss,"Ear, Nose and Throat",t
30,nasal discharge,"Ear, Nose and Throat",t
31,otalgia ,"Ear, Nose and Throat",t
32,otorrhea ,"Ear, Nose and Throat",t
33,sore throat,"Ear, Nose and Throat",t
34,toothache,"Ear, Nose and Throat",t
35,tinnitus,"Ear, Nose and Throat",t
36,trismus,"Ear, Nose and Throat",t
37,abdominal pain,Gastrointestinal,t
38,bloating,Gastrointestinal,t
39,belching ,Gastrointestinal,t
40,Hematemesis (bleeding),Gastrointestinal,t
41,"blood in stool: melena , hematochezia (bleeding)",Gastrointestinal,t
42,constipation ,Gastrointestinal,t
43,diarrhea,Gastrointestinal,t
44,dysphagia ,Gastrointestinal,t
45,dyspepsia ,Gastrointestinal,t
46,fecal incontinence,Gastrointestinal,t
47,flatulence ,Gastrointestinal,t
48,heartburn,Gastrointestinal,t
49,nausea ,Gastrointestinal,t
50,odynophagia,Gastrointestinal,t
51,proctalgia fugax,Gastrointestinal,t
52,pyrosis,Gastrointestinal,t
53,Rectal tenesmus,Gastrointestinal,t
54,steatorrhea,Gastrointestinal,t
55,vomiting ,Gastrointestinal,t
56,alopecia,Integumentary (Hair),t
57,hirsutism,Integumentary (Hair),t
58,hypertrichosis,Integumentary (Hair),t
59, Nail_disease § Nail_changes_and_conditions_associated_with_them,Integumentary (nail:Main article),t
60,abrasion,Integumentary (Skin),t
61,anasarca,Integumentary (Skin),t
62,petechia,Integumentary (bleeding into the skin),t
63,purpura,Integumentary (bleeding into the skin),t
64,ecchymosis and bruising (Sx0 (x=0 through 9)),Integumentary (bleeding into the skin),t
65,blister ,Integumentary (bleeding into the skin),t
66,edema ,Integumentary (bleeding into the skin),t
67,itching ,Integumentary (bleeding into the skin),t
68,Janeway lesions and Osler's node,Integumentary (bleeding into the skin),t
69,laceration,Integumentary (bleeding into the skin),t
70,rash ,Integumentary (bleeding into the skin),t
71,urticaria ,Integumentary (bleeding into the skin),t
72,abnormal posturing,Neurological,t
73,acalculia,Neurological,t
74,agnosia,Neurological,t
